opportunity_id,account_id,owner_id,opportunity_name,opportunity_type,stage_name,forecast_category,amount,currency_code,term_months,created_date,close_date,is_closed,is_won,contract_id
OPP-000032,ACC-0008,USR-014,Frazier Inc - Renewal,Renewal,Closed Won,Closed,252000.0,EUR,24,2024-03-02,2024-04-15,1,1,CTR-00031
OPP-000033,ACC-0008,USR-014,Frazier Inc - Expansion,Expansion,Closed Won,Closed,168000.0,EUR,36,2024-09-27,2024-11-11,1,1,CTR-00032
OPP-000034,ACC-0008,USR-014,Frazier Inc - Churn,Churn,Closed Lost,Omitted,420000.0,EUR,12,2024-11-30,2025-03-13,1,0,
OPP-000035,ACC-0009,USR-001,"Dyer, Potter and Mack - New Business",New Business,Closed Won,Closed,1305000.0,USD,12,2024-08-22,2024-12-11,1,1,CTR-00033
OPP-000036,ACC-0009,USR-001,"Dyer, Potter and Mack - Renewal",Renewal,Closed Won,Closed,1280000.0,USD,12,2025-09-26,2025-12-20,1,1,CTR-00034
OPP-000037,ACC-0010,USR-010,Rodriguez-Graham - New Business,New Business,Closed Won,Closed,180000.0,EUR,36,2023-07-14,2023-09-25,1,1,CTR-00035
OPP-000038,ACC-0010,USR-010,Rodriguez-Graham - Renewal,Renewal,Closed Won,Closed,180000.0,EUR,12,2024-08-15,2024-09-23,1,1,CTR-00036
OPP-000039,ACC-0010,USR-010,Rodriguez-Graham - Renewal,Renewal,Closed Won,Closed,180000.0,EUR,12,2025-07-12,2025-09-15,1,1,CTR-00037
OPP-000040,ACC-0011,USR-008,Smith-Bowen - New Business,New Business,Closed Won,Closed,210000.0,USD,12,2023-10-20,2024-02-16,1,1,CTR-00038
OPP-000041,ACC-0011,USR-008,Smith-Bowen - Expansion,Expansion,Closed Won,Closed,84000.0,USD,36,2024-06-14,2024-09-15,1,1,CTR-00039
OPP-000042,ACC-0011,USR-008,Smith-Bowen - Renewal,Renewal,Closed Won,Closed,294000.0,USD,12,2024-10-24,2025-02-12,1,1,CTR-00040
OPP-000043,ACC-0011,USR-008,Smith-Bowen - Expansion,Expansion,Closed Won,Closed,56000.0,USD,12,2025-07-05,2025-10-09,1,1,CTR-00041
OPP-000044,ACC-0012,USR-010,"Baker, Mason and White - New Business",New Business,Closed Won,Closed,1548000.0,USD,12,2023-06-23,2023-10-18,1,1,CTR-00042
OPP-000045,ACC-0012,USR-010,"Baker, Mason and White - Expansion",Expansion,Closed Won,Closed,66000.0,USD,24,2024-02-01,2024-04-02,1,1,CTR-00043
OPP-000046,ACC-0012,USR-010,"Baker, Mason and White - Renewal",Renewal,Closed Won,Closed,1606000.0,USD,12,2024-06-29,2024-10-15,1,1,CTR-00044
OPP-000047,ACC-0012,USR-010,"Baker, Mason and White - Renewal",Renewal,Closed Won,Closed,1606000.0,USD,12,2025-08-18,2025-10-07,1,1,CTR-00045
OPP-000048,ACC-0013,USR-004,Harrell LLC - New Business,New Business,Closed Won,Closed,1165000.0,USD,36,2024-12-14,2025-03-24,1,1,CTR-00046
OPP-000049,ACC-0014,USR-023,"Romero, Gonzalez and Brooks - New Business",New Business,Closed Won,Closed,38000.0,USD,36,2025-01-12,2025-05-04,1,1,CTR-00047
OPP-000050,ACC-0014,USR-023,"Romero, Gonzalez and Brooks - Expansion",Expansion,Closed Won,Closed,180000.0,USD,12,2025-08-20,2025-09-21,1,1,CTR-00048
OPP-000051,ACC-0015,USR-018,Ryan PLC - New Business,New Business,Closed Won,Closed,216000.0,USD,12,2025-03-19,2025-06-02,1,1,CTR-00049
OPP-000052,ACC-0015,USR-018,Ryan PLC - Downgrade,Downgrade,Closed Won,Closed,-60000.0,USD,36,2025-06-30,2025-10-15,1,1,CTR-00050
OPP-000053,ACC-0016,USR-007,George Group - New Business,New Business,Closed Won,Closed,169000.0,USD,12,2025-04-05,2025-05-23,1,1,CTR-00051
OPP-000054,ACC-0017,USR-018,Rodriguez LLC - New Business,New Business,Closed Won,Closed,542000.0,USD,36,2023-08-12,2023-10-17,1,1,CTR-00052
OPP-000055,ACC-0017,USR-018,Rodriguez LLC - Renewal,Renewal,Closed Won,Closed,542000.0,USD,12,2024-08-11,2024-10-16,1,1,CTR-00053
OPP-000056,ACC-0017,USR-018,Rodriguez LLC - Renewal,Renewal,Closed Won,Closed,542000.0,USD,12,2025-07-27,2025-10-09,1,1,CTR-00054
OPP-000057,ACC-0018,USR-024,Allen-Allen - New Business,New Business,Closed Won,Closed,472000.0,USD,24,2023-06-11,2023-08-21,1,1,CTR-00055
OPP-000058,ACC-0018,USR-024,Allen-Allen - Expansion,Expansion,Closed Won,Closed,70000.0,USD,36,2023-10-20,2023-12-21,1,1,CTR-00056
OPP-000059,ACC-0018,USR-024,Allen-Allen - Renewal,Renewal,Closed Won,Closed,542000.0,USD,12,2024-06-16,2024-08-08,1,1,CTR-00057
OPP-000060,ACC-0018,USR-024,Allen-Allen - Expansion,Expansion,Closed Won,Closed,48000.0,USD,12,2024-10-14,2025-01-24,1,1,CTR-00058
OPP-000061,ACC-0018,USR-024,Allen-Allen - Renewal,Renewal,Closed Won,Closed,590000.0,USD,12,2025-05-20,2025-08-23,1,1,CTR-00059
OPP-000062,ACC-0019,USR-016,"Arroyo, Miller and Tucker - New Business",New Business,Closed Won,Closed,1280000.0,USD,24,2025-03-27,2025-06-17,1,1,CTR-00060
OPP-000063,ACC-0019,USR-016,"Arroyo, Miller and Tucker - Expansion",Expansion,Closed Won,Closed,90000.0,USD,12,2025-08-12,2025-11-11,1,1,CTR-00061
OPP-000064,ACC-0020,USR-002,Spence PLC - New Business,New Business,Closed Won,Closed,246000.0,USD,12,2023-12-06,2024-03-05,1,1,CTR-00062
OPP-000065,ACC-0020,USR-002,Spence PLC - Renewal,Renewal,Closed Won,Closed,246000.0,USD,12,2025-01-15,2025-03-13,1,1,CTR-00063
OPP-000066,ACC-0020,USR-002,Spence PLC - Expansion,Expansion,Closed Won,Closed,28000.0,USD,12,2025-10-06,2025-12-14,1,1,CTR-00064
OPP-000067,ACC-0021,USR-020,Anderson Group - New Business,New Business,Closed Won,Closed,184000.0,USD,12,2024-08-10,2024-11-25,1,1,CTR-00065
OPP-000068,ACC-0021,USR-020,Anderson Group - Expansion,Expansion,Closed Won,Closed,108000.0,USD,12,2025-05-05,2025-08-06,1,1,CTR-00066
OPP-000069,ACC-0021,USR-020,Anderson Group - Renewal,Renewal,Closed Won,Closed,267000.0,USD,24,2025-07-10,2025-11-05,1,1,CTR-00067
OPP-000070,ACC-0022,USR-004,"Martin, Rose and Obrien - New Business",New Business,Closed Won,Closed,235000.0,USD,12,2024-09-12,2025-01-07,1,1,CTR-00068
OPP-000071,ACC-0022,USR-004,"Martin, Rose and Obrien - Expansion",Expansion,Closed Won,Closed,60000.0,USD,12,2024-12-24,2025-04-04,1,1,CTR-00069
OPP-000072,ACC-0022,USR-004,"Martin, Rose and Obrien - Expansion",Expansion,Closed Won,Closed,280000.0,USD,12,2025-06-11,2025-10-08,1,1,CTR-00070
OPP-000073,ACC-0023,USR-013,Hickman Ltd - New Business,New Business,Closed Won,Closed,380000.0,USD,24,2022-11-08,2023-02-05,1,1,CTR-00071
OPP-000074,ACC-0023,USR-013,Hickman Ltd - Renewal,Renewal,Closed Won,Closed,380000.0,USD,36,2023-12-13,2024-02-14,1,1,CTR-00072
OPP-000075,ACC-0023,USR-013,Hickman Ltd - Expansion,Expansion,Closed Won,Closed,162000.0,USD,12,2024-06-07,2024-07-24,1,1,CTR-00073
OPP-000076,ACC-0023,USR-013,Hickman Ltd - Expansion,Expansion,Closed Won,Closed,224000.0,USD,24,2024-09-27,2025-01-12,1,1,CTR-00074
OPP-000077,ACC-0023,USR-013,Hickman Ltd - Expansion,Expansion,Closed Won,Closed,168000.0,USD,24,2024-12-01,2025-01-14,1,1,CTR-00075
OPP-000078,ACC-0023,USR-013,Hickman Ltd - Renewal,Renewal,Closed Won,Closed,934000.0,USD,12,2024-11-05,2025-02-06,1,1,CTR-00076
OPP-000079,ACC-0024,USR-001,"Harris, Collins and Carney - New Business",New Business,Closed Won,Closed,150000.0,USD,12,2024-01-17,2024-04-18,1,1,CTR-00077
OPP-000080,ACC-0024,USR-001,"Harris, Collins and Carney - Renewal",Renewal,Closed Won,Closed,150000.0,USD,12,2025-03-17,2025-04-21,1,1,CTR-00078
OPP-000081,ACC-0025,USR-001,"Brooks, Lam and Hayes - New Business",New Business,Closed Won,Closed,183000.0,USD,24,2025-04-29,2025-06-02,1,1,CTR-00079
OPP-000082,ACC-0026,USR-005,Walker LLC - New Business,New Business,Closed Won,Closed,205000.0,USD,36,2024-08-10,2024-12-07,1,1,CTR-00080
OPP-000083,ACC-0026,USR-005,Walker LLC - Renewal,Renewal,Closed Won,Closed,180000.0,USD,24,2025-09-12,2025-12-23,1,1,CTR-00081
OPP-000084,ACC-0027,USR-013,Chapman and Sons - New Business,New Business,Closed Won,Closed,278000.0,USD,12,2024-08-14,2024-11-15,1,1,CTR-00082
OPP-000085,ACC-0027,USR-013,Chapman and Sons - Expansion,Expansion,Closed Won,Closed,60000.0,USD,24,2025-04-21,2025-06-25,1,1,CTR-00083
OPP-000086,ACC-0027,USR-013,Chapman and Sons - Renewal,Renewal,Closed Won,Closed,330000.0,USD,12,2025-08-26,2025-11-11,1,1,CTR-00084
OPP-000087,ACC-0028,USR-018,"Robinson, Jones and Welch - New Business",New Business,Closed Won,Closed,1328000.0,USD,36,2022-12-17,2023-02-05,1,1,CTR-00085
OPP-000088,ACC-0028,USR-018,"Robinson, Jones and Welch - Renewal",Renewal,Closed Won,Closed,1328000.0,USD,36,2023-11-14,2024-02-09,1,1,CTR-00086
OPP-000089,ACC-0028,USR-018,"Robinson, Jones and Welch - Renewal",Renewal,Closed Won,Closed,1328000.0,USD,24,2024-10-11,2025-02-06,1,1,CTR-00087
OPP-000090,ACC-0028,USR-018,"Robinson, Jones and Welch - Expansion",Expansion,Closed Won,Closed,90000.0,USD,12,2025-03-29,2025-05-16,1,1,CTR-00088
OPP-000091,ACC-0029,USR-003,Jones Inc - New Business,New Business,Closed Won,Closed,1093000.0,GBP,36,2025-02-20,2025-06-05,1,1,CTR-00089
OPP-000092,ACC-0030,USR-012,Jones-Young - New Business,New Business,Closed Won,Closed,478000.0,USD,12,2022-09-29,2023-01-16,1,1,CTR-00090
OPP-000093,ACC-0030,USR-012,Jones-Young - Expansion,Expansion,Closed Won,Closed,144000.0,USD,12,2023-02-16,2023-04-18,1,1,CTR-00091
OPP-000094,ACC-0030,USR-012,Jones-Young - Renewal,Renewal,Closed Won,Closed,622000.0,USD,12,2023-10-05,2024-01-27,1,1,CTR-00092
OPP-000095,ACC-0030,USR-012,Jones-Young - Renewal,Renewal,Closed Won,Closed,622000.0,USD,24,2024-11-28,2025-01-04,1,1,CTR-00093
OPP-000096,ACC-0031,USR-021,"Washington, Ryan and Cummings - New Business",New Business,Closed Won,Closed,475000.0,USD,12,2024-03-12,2024-05-26,1,1,CTR-00094
OPP-000097,ACC-0031,USR-021,"Washington, Ryan and Cummings - Renewal",Renewal,Closed Won,Closed,475000.0,USD,24,2025-01-14,2025-05-08,1,1,CTR-00095
OPP-000098,ACC-0032,USR-003,"Johnston, Sanchez and Kennedy - New Business",New Business,Closed Won,Closed,174000.0,EUR,12,2023-04-18,2023-08-02,1,1,CTR-00096
OPP-000099,ACC-0032,USR-003,"Johnston, Sanchez and Kennedy - Renewal",Renewal,Closed Won,Closed,156000.0,EUR,24,2024-07-13,2024-08-19,1,1,CTR-00097
OPP-000100,ACC-0032,USR-003,"Johnston, Sanchez and Kennedy - Renewal",Renewal,Closed Won,Closed,156000.0,EUR,36,2025-06-17,2025-08-08,1,1,CTR-00098
OPP-000101,ACC-0032,USR-003,"Johnston, Sanchez and Kennedy - Churn",Churn,Closed Lost,Omitted,156000.0,EUR,12,2025-09-17,2025-12-23,1,0,
OPP-000102,ACC-0033,USR-007,Lee-Davis - New Business,New Business,Closed Won,Closed,165000.0,USD,12,2024-01-01,2024-04-19,1,1,CTR-00099
OPP-000103,ACC-0033,USR-007,Lee-Davis - Renewal,Renewal,Closed Won,Closed,165000.0,USD,12,2024-12-28,2025-04-07,1,1,CTR-00100
OPP-000104,ACC-0034,USR-009,Gomez-Jenkins - New Business,New Business,Closed Won,Closed,949000.0,USD,24,2023-02-26,2023-05-11,1,1,CTR-00101
OPP-000105,ACC-0034,USR-009,Gomez-Jenkins - Expansion,Expansion,Closed Won,Closed,36000.0,USD,12,2023-11-04,2023-12-08,1,1,CTR-00102
OPP-000106,ACC-0034,USR-009,Gomez-Jenkins - Renewal,Renewal,Closed Won,Closed,985000.0,USD,12,2024-02-12,2024-05-25,1,1,CTR-00103
OPP-000107,ACC-0034,USR-009,Gomez-Jenkins - Renewal,Renewal,Closed Won,Closed,985000.0,USD,36,2025-03-20,2025-05-25,1,1,CTR-00104
OPP-000108,ACC-0034,USR-009,Gomez-Jenkins - Expansion,Expansion,Closed Won,Closed,224000.0,USD,12,2025-03-30,2025-06-08,1,1,CTR-00105
OPP-000109,ACC-0035,USR-003,"Brown, Valdez and Lucas - New Business",New Business,Closed Won,Closed,24000.0,EUR,24,2024-05-01,2024-06-26,1,1,CTR-00106
OPP-000110,ACC-0035,USR-003,"Brown, Valdez and Lucas - Expansion",Expansion,Closed Won,Closed,72000.0,EUR,24,2024-10-09,2024-11-03,1,1,CTR-00107
OPP-000111,ACC-0035,USR-003,"Brown, Valdez and Lucas - Renewal",Renewal,Closed Won,Closed,96000.0,EUR,12,2025-04-14,2025-06-12,1,1,CTR-00108
OPP-000112,ACC-0035,USR-003,"Brown, Valdez and Lucas - Expansion",Expansion,Closed Won,Closed,44000.0,EUR,12,2025-06-24,2025-09-14,1,1,CTR-00109
OPP-000113,ACC-0036,USR-003,Powell LLC - New Business,New Business,Closed Won,Closed,138000.0,GBP,36,2024-04-15,2024-06-20,1,1,CTR-00110
OPP-000114,ACC-0036,USR-003,Powell LLC - Expansion,Expansion,Closed Won,Closed,45000.0,GBP,36,2024-07-26,2024-09-06,1,1,CTR-00111
OPP-000115,ACC-0036,USR-003,Powell LLC - Renewal,Renewal,Closed Won,Closed,183000.0,GBP,12,2025-03-13,2025-06-09,1,1,CTR-00112
OPP-000116,ACC-0036,USR-003,Powell LLC - Expansion,Expansion,Closed Won,Closed,66000.0,GBP,12,2025-06-23,2025-09-09,1,1,CTR-00113
OPP-000117,ACC-0037,USR-023,Wright and Sons - New Business,New Business,Closed Won,Closed,304000.0,USD,24,2023-08-31,2023-10-20,1,1,CTR-00114
OPP-000118,ACC-0037,USR-023,Wright and Sons - Expansion,Expansion,Closed Won,Closed,96000.0,USD,12,2024-02-21,2024-05-11,1,1,CTR-00115
OPP-000119,ACC-0037,USR-023,Wright and Sons - Renewal,Renewal,Closed Won,Closed,400000.0,USD,36,2024-08-05,2024-10-10,1,1,CTR-00116
OPP-000120,ACC-0037,USR-023,Wright and Sons - Renewal,Renewal,Closed Won,Closed,400000.0,USD,36,2025-08-12,2025-10-16,1,1,CTR-00117
OPP-000121,ACC-0038,USR-013,"West, Henderson and Ramirez - New Business",New Business,Closed Won,Closed,821000.0,USD,24,2023-02-27,2023-06-04,1,1,CTR-00118
OPP-000122,ACC-0038,USR-013,"West, Henderson and Ramirez - Renewal",Renewal,Closed Won,Closed,813000.0,USD,12,2024-02-04,2024-06-01,1,1,CTR-00119
OPP-000123,ACC-0038,USR-013,"West, Henderson and Ramirez - Renewal",Renewal,Closed Won,Closed,813000.0,USD,24,2025-04-14,2025-06-15,1,1,CTR-00120
OPP-000124,ACC-0039,USR-008,Baxter Inc - New Business,New Business,Closed Won,Closed,198000.0,EUR,12,2025-01-03,2025-03-23,1,1,CTR-00121
OPP-000125,ACC-0039,USR-008,Baxter Inc - Expansion,Expansion,Closed Won,Closed,14000.0,EUR,36,2025-03-22,2025-06-23,1,1,CTR-00122
OPP-000126,ACC-0039,USR-008,Baxter Inc - Expansion,Expansion,Closed Won,Closed,24000.0,EUR,36,2025-07-04,2025-10-22,1,1,CTR-00123
OPP-000127,ACC-0040,USR-024,Morton-Chase - New Business,New Business,Closed Won,Closed,217000.0,USD,12,2023-09-09,2023-12-08,1,1,CTR-00124
OPP-000128,ACC-0040,USR-024,Morton-Chase - Renewal,Renewal,Closed Won,Closed,192000.0,USD,24,2024-09-25,2024-12-23,1,1,CTR-00125
OPP-000129,ACC-0040,USR-024,Morton-Chase - Expansion,Expansion,Closed Won,Closed,30000.0,USD,12,2025-06-03,2025-08-04,1,1,CTR-00126
OPP-000130,ACC-0040,USR-024,Morton-Chase - Expansion,Expansion,Closed Won,Closed,36000.0,USD,24,2025-07-10,2025-09-12,1,1,CTR-00127
OPP-000131,ACC-0040,USR-024,Morton-Chase - Renewal,Renewal,Closed Won,Closed,258000.0,USD,12,2025-11-05,2025-12-26,1,1,CTR-00128
OPP-000132,ACC-0041,USR-004,Williams PLC - New Business,New Business,Closed Won,Closed,120000.0,USD,24,2024-04-08,2024-05-11,1,1,CTR-00129
OPP-000133,ACC-0041,USR-004,Williams PLC - Expansion,Expansion,Closed Won,Closed,60000.0,USD,12,2024-08-03,2024-11-06,1,1,CTR-00130
OPP-000134,ACC-0041,USR-004,Williams PLC - Renewal,Renewal,Closed Won,Closed,180000.0,USD,12,2025-02-28,2025-05-18,1,1,CTR-00131
OPP-000135,ACC-0042,USR-017,Novak and Sons - New Business,New Business,Closed Won,Closed,150000.0,GBP,24,2025-06-15,2025-07-13,1,1,CTR-00132
OPP-000136,ACC-0042,USR-017,Novak and Sons - Expansion,Expansion,Closed Won,Closed,24000.0,GBP,12,2025-07-03,2025-10-04,1,1,CTR-00133
OPP-000137,ACC-0042,USR-017,Novak and Sons - Expansion,Expansion,Closed Won,Closed,72000.0,GBP,12,2025-10-07,2025-11-15,1,1,CTR-00134
OPP-000138,ACC-0043,USR-014,Russell Group - New Business,New Business,Closed Won,Closed,364000.0,EUR,24,2023-06-21,2023-09-12,1,1,CTR-00135
OPP-000139,ACC-0043,USR-014,Russell Group - Renewal,Renewal,Closed Won,Closed,364000.0,EUR,36,2024-05-15,2024-09-03,1,1,CTR-00136
OPP-000140,ACC-0043,USR-014,Russell Group - Renewal,Renewal,Closed Won,Closed,364000.0,EUR,12,2025-07-11,2025-09-04,1,1,CTR-00137
OPP-000141,ACC-0043,USR-014,Russell Group - Expansion,Expansion,Closed Won,Closed,54000.0,EUR,12,2025-08-11,2025-09-23,1,1,CTR-00138
OPP-000142,ACC-0044,USR-007,Hancock Inc - New Business,New Business,Closed Won,Closed,245000.0,USD,24,2024-02-18,2024-05-21,1,1,CTR-00139
OPP-000143,ACC-0044,USR-007,Hancock Inc - Expansion,Expansion,Closed Won,Closed,108000.0,USD,24,2024-12-05,2025-01-16,1,1,CTR-00140
OPP-000144,ACC-0044,USR-007,Hancock Inc - Renewal,Renewal,Closed Won,Closed,328000.0,USD,12,2025-02-18,2025-05-18,1,1,CTR-00141
OPP-000145,ACC-0044,USR-007,Hancock Inc - Expansion,Expansion,Closed Won,Closed,144000.0,USD,24,2025-09-03,2025-11-23,1,1,CTR-00142
OPP-000146,ACC-0044,USR-007,Hancock Inc - Churn,Churn,Closed Lost,Omitted,472000.0,USD,12,2025-10-31,2025-12-16,1,0,
OPP-000147,ACC-0045,USR-002,Gray Group - New Business,New Business,Closed Won,Closed,175000.0,USD,36,2023-01-23,2023-03-10,1,1,CTR-00143
OPP-000148,ACC-0045,USR-002,Gray Group - Renewal,Renewal,Closed Won,Closed,150000.0,USD,36,2023-12-06,2024-03-09,1,1,CTR-00144
OPP-000149,ACC-0045,USR-002,Gray Group - Expansion,Expansion,Closed Won,Closed,216000.0,USD,12,2024-10-27,2024-12-18,1,1,CTR-00145
OPP-000150,ACC-0045,USR-002,Gray Group - Renewal,Renewal,Closed Won,Closed,366000.0,USD,24,2024-12-06,2025-03-24,1,1,CTR-00146
OPP-000151,ACC-0045,USR-002,Gray Group - Expansion,Expansion,Closed Won,Closed,18000.0,USD,12,2025-04-01,2025-06-09,1,1,CTR-00147
OPP-000152,ACC-0046,USR-014,House-Glover - New Business,New Business,Closed Won,Closed,78000.0,EUR,12,2025-02-13,2025-04-23,1,1,CTR-00148
OPP-000153,ACC-0046,USR-014,House-Glover - Expansion,Expansion,Closed Won,Closed,180000.0,EUR,12,2025-06-19,2025-08-18,1,1,CTR-00149
OPP-000154,ACC-0046,USR-014,House-Glover - Expansion,Expansion,Closed Won,Closed,36000.0,EUR,36,2025-09-22,2025-11-23,1,1,CTR-00150
OPP-000155,ACC-0047,USR-018,Henderson-Bernard - New Business,New Business,Closed Won,Closed,1045000.0,USD,36,2023-08-09,2023-10-25,1,1,CTR-00151
OPP-000156,ACC-0047,USR-018,Henderson-Bernard - Expansion,Expansion,Closed Won,Closed,96000.0,USD,12,2024-02-04,2024-05-19,1,1,CTR-00152
OPP-000157,ACC-0047,USR-018,Henderson-Bernard - Expansion,Expansion,Closed Won,Closed,84000.0,USD,12,2024-01-18,2024-05-03,1,1,CTR-00153
OPP-000158,ACC-0047,USR-018,Henderson-Bernard - Downgrade,Downgrade,Closed Won,Closed,-108000.0,USD,12,2024-07-13,2024-09-23,1,1,CTR-00154
OPP-000159,ACC-0047,USR-018,Henderson-Bernard - Renewal,Renewal,Closed Won,Closed,1117000.0,USD,24,2024-07-04,2024-10-11,1,1,CTR-00155
OPP-000160,ACC-0047,USR-018,Henderson-Bernard - Renewal,Renewal,Closed Won,Closed,1117000.0,USD,12,2025-08-02,2025-10-24,1,1,CTR-00156
OPP-000161,ACC-0048,USR-003,"Stanley, Tucker and Lee - New Business",New Business,Closed Won,Closed,841000.0,EUR,12,2024-06-12,2024-09-18,1,1,CTR-00157
OPP-000162,ACC-0048,USR-003,"Stanley, Tucker and Lee - Renewal",Renewal,Closed Won,Closed,833000.0,EUR,12,2025-07-27,2025-09-02,1,1,CTR-00158
OPP-000163,ACC-0049,USR-008,Novak PLC - New Business,New Business,Closed Won,Closed,184000.0,EUR,24,2024-08-13,2024-09-23,1,1,CTR-00159
OPP-000164,ACC-0049,USR-008,Novak PLC - Expansion,Expansion,Closed Won,Closed,66000.0,EUR,12,2024-12-29,2025-04-13,1,1,CTR-00160
